#name,ra,dec,Nmed,dN,NoverRmed,dNoverR,ID,zd,sigma,dsigma,sSIE,S10,dS10,S10t,dS10t,D1,dD1,aD1,daD1,D1t,dD1t,oS10,oD1,,Clu1,zcl,cldist,,,,,,,,,,,,,,
#Median N is 63.000000 and Median N is 1.028768 (for 100,000 random LoS),,,,,,,,km/s,km/s,km/s,Mpc^2,Mpc^2,Mpc^2,Mpc^2,Mpc^2,Mpc^2,Mpc^2,Mpc^2,Mpc^2,Mpc^2,,,,,,arcmin,,,,,,,,,,,,,,
SDSSJ1023+4230,155.884417,42.5005,114,2.236496,1.69765,0.041935,J1023+4230,0.191,261,16,267,6.1,1.9,8.5,1.1,4.2,0.8,4.0,0.2,4.1,0.2,1.525,1.05,1,MaxBCGJ155.91525+42.48492,0.184,1.70,,0.000,0.00,,0.000,0.00,,0.000,0.00,,0.000,0.00,,
SDSSJ1100+5329,165.101625,53.487194,112,2.251112,2.42331,0.047483,J1100+5329,0.317,-106,-106,303,3.5,1.1,6.3,0.6,3.1,0.7,1.9,0.1,4.1,0.2,1.84210526315789,1.63157894736842,0,No,-,-,,0.000,0.00,,0.000,0.00,,0.000,0.00,,0.000,0.00,,
SDSSJ1112+0826,168.210833,8.436222,103,2.434691,2.017951,0.089143,J1112+0826,0.273,348,22,314,4.1,1.3,8.3,1.4,2.2,0.6,3.1,0.1,3.8,0.2,1.32258064516129,0.709677419354839,0,No,-,-,,0.000,0.00,,0.000,0.00,,0.000,0.00,,0.000,0.00,,
SDSSJ1134+6027,173.524542,60.45375,83,1.677541,1.529564,0.02348,J1134+6027,0.153,257,13,242,6.6,2.1,11.9,1.8,4.4,0.8,4.2,0.2,5.1,0.3,1.57142857142857,1.04761904761905,0,No,-,-,,0.000,0.00,,0.000,0.00,,0.000,0.00,,0.000,0.00,,
SDSSJ1142+1001,175.738958,10.019944,68,1.956726,1.214085,0.029884,J1142+1001,0.222,238,24,254,2.6,0.8,8.5,1.0,1.4,0.5,3.6,0.2,4.5,0.2,0.722222222222222,0.388888888888889,0,No,-,-,,0.000,0.00,,0.000,0.00,,0.000,0.00,,0.000,0.00,,
SDSSJ1143-0144,175.8735,-1.741667,114,2.218085,2.27405,0.040068,J1143-0144,0.106,279,13,285,236.7,74.9,12.5,1.6,11.2,1.3,3.0,0.2,4.7,0.5,78.9,3.73333333333333,1,SDSS-C41035,0.106,0.90,ABELL1364,0.106,2.70,MaxBCGJ176.02643-01.79024,0.257,9.60,,0.000,0.00,,0.000,0.00,,
SDSSJ1153+4612,178.294958,46.201472,93,2.300864,1.596753,0.056468,J1153+4612,0.180,248,16,220,3.4,1.1,8.3,0.9,3.4,0.7,5.2,0.2,4.7,0.3,0.653846153846154,0.653846153846154,0,No,-,-,,0.000,0.00,,0.000,0.00,,0.000,0.00,,0.000,0.00,,
SDSSJ1204+0358,181.183625,3.968444,114,1.890458,1.93951,0.038903,J1204+0358,0.164,290,18,254,36.7,11.6,8.8,1.4,15.9,1.6,4.7,0.2,4.3,0.3,7.80851063829787,3.38297872340426,1,MaxBCGJ181.14640+03.95642,0.165,2.30,NSCJ120432+035012,0.116,8.40,MaxBCGJ181.20101+03.98553,0.265,1.50,ABELL1463,-,1.90,,0.000,0.00,,
SDSSJ1213+6708,183.419083,67.141389,68,2.134985,1.028458,0.036116,J1213+6708,0.123,308,16,251,1.5,0.5,8.6,0.9,1.4,0.5,3.1,0.2,3.6,0.2,0.483870967741935,0.451612903225806,0,No,-,-,,0.000,0.00,,0.000,0.00,,0.000,0.00,,0.000,0.00,,
SDSSJ1218+0830,184.61125,8.513972,88,1.644226,1.43556,0.024022,J1218+0830,0.135,231,12,254,1.4,0.4,9.2,1.2,1.2,0.4,3.2,0.2,4.5,0.2,0.4375,0.375,0,No,-,-,,0.000,0.00,,0.000,0.00,,0.000,0.00,,0.000,0.00,,
