J1103+5322,0.158,211,13,217,3.9,1.2,7.5,0.7,3.0,0.7,4.0,0.2,4.7,0.2,0,No,-,-,,0.000,0.00,,0.000,0.00,,0.000,0.00,,0.000,0.00
J1106+5228,0.095,283,14,239,2.1,0.7,10.8,2.0,1.7,0.5,3.5,0.2,4.9,0.5,0,NSCSJ110634+522247,-,6.10,,0.000,0.00,,0.000,0.00,,0.000,0.00,,0.000,0.00
J1112+0826,0.273,348,22,314,4.1,1.3,8.3,1.4,2.2,0.6,3.1,0.1,3.8,0.2,0,No,-,-,,0.000,0.00,,0.000,0.00,,0.000,0.00,,0.000,0.00
J1134+6027,0.153,257,13,242,6.6,2.1,11.9,1.8,4.4,0.8,4.2,0.2,5.1,0.3,0,No,-,-,,0.000,0.00,,0.000,0.00,,0.000,0.00,,0.000,0.00
J1142+1001,0.222,238,24,254,2.6,0.8,8.5,1.0,1.4,0.5,3.6,0.2,4.5,0.2,0,No,-,-,,0.000,0.00,,0.000,0.00,,0.000,0.00,,0.000,0.00
J1143-0144,0.106,279,13,285,236.7,74.9,12.5,1.6,11.2,1.3,3.0,0.2,4.7,0.5,1,SDSS-C41035,0.106,0.90,ABELL1364,0.106,2.70,MaxBCGJ176.02643-01.79024,0.257,9.60,,0.000,0.00,,0.000,0.00
J1153+4612,0.180,248,16,220,3.4,1.1,8.3,0.9,3.4,0.7,5.2,0.2,4.7,0.3,0,No,-,-,,0.000,0.00,,0.000,0.00,,0.000,0.00,,0.000,0.00
J1204+0358,0.164,290,18,254,36.7,11.6,8.8,1.4,15.9,1.6,4.7,0.2,4.3,0.3,1,MaxBCGJ181.14640+03.95642,0.165,2.30,NSCJ120432+035012,0.116,8.40,MaxBCGJ181.20101+03.98553,0.265,1.50,ABELL1463,-,1.90,,0.000,0.00
J1205+4910,0.215,299,15,285,2.3,0.7,7.2,1.1,2.2,0.6,2.8,0.1,3.6,0.2,0,No,-,-,,0.000,0.00,,0.000,0.00,,0.000,0.00,,0.000,0.00
J1213+6708,0.123,308,16,251,1.5,0.5,8.6,0.9,1.4,0.5,3.1,0.2,3.6,0.2,0,No,-,-,,0.000,0.00,,0.000,0.00,,0.000,0.00,,0.000,0.00
J1218+0830,0.135,231,12,254,1.4,0.4,9.2,1.2,1.2,0.4,3.2,0.2,4.5,0.2,0,No,-,-,,0.000,0.00,,0.000,0.00,,0.000,0.00,,0.000,0.00
J1250+0523,0.232,272,15,244,3.1,1.0,7.0,0.6,2.8,0.7,2.8,0.1,3.9,0.2,0,No,-,-,,0.000,0.00,,0.000,0.00,,0.000,0.00,,0.000,0.00
J1250-0135,0.087,260,13,0,5.8,1.8,12.4,2.2,6.7,1.0,3.1,0.2,4.5,0.4,0,No,-,-,,0.000,0.00,,0.000,0.00,,0.000,0.00,,0.000,0.00
J1251-0208,0.224,-105,-105,209,7.8,2.5,9.4,1.2,3.1,0.7,4.1,0.2,4.3,0.2,0,NSCJ125151-021711,0.169,10.00,,0.000,0.00,,0.000,0.00,,0.000,0.00,,0.000,0.00
J1259+6134,0.233,273,17,0,2.3,0.7,9.4,1.2,1.9,0.5,3.2,0.1,4.3,0.2,0,No,-,-,,0.000,0.00,,0.000,0.00,,0.000,0.00,,0.000,0.00
J1402+6321,0.205,283,18,294,1.8,0.6,9.8,1.1,1.7,0.5,2.7,0.2,4.3,0.3,0,NSCSJ140131+632201,0.350,6.40,,0.000,0.00,,0.000,0.00,,0.000,0.00,,0.000,0.00
J1403+0006,0.189,232,18,225,31.1,9.8,8.6,1.0,10.6,1.3,4.6,0.2,4.6,0.3,1,SDSSCEJ210.802505+00.093432,0.183,4.40,MaxBCGJ210.85765+00.13363,0.167,1.60,,0.000,0.00,,0.000,0.00,,0.000,0.00
J1416+5136,0.299,261,27,287,3.9,1.2,7.2,0.9,3.4,0.7,3.4,0.1,3.8,0.2,0,No,-,-,,0.000,0.00,,0.000,0.00,,0.000,0.00,,0.000,0.00
J1420+6019,0.063,220,11,204,1.8,0.6,10.4,1.4,1.7,0.5,5.1,0.4,5.4,0.4,0,No,-,-,,0.000,0.00,,0.000,0.00,,0.000,0.00,,0.000,0.00
J1430+4105,0.285,343,34,337,3.3,1.1,9.6,1.2,2.2,0.6,1.8,0.1,4.0,0.3,1,MaxBCGJ217.49493+41.10435,0.270,1.00,NSCSJ143033+411230,0.340,8.50,,0.000,0.00,,0.000,0.00,,0.000,0.00
